288;食;EAT ・ FOOD
289;飲;DRINK
290;官;GOVERNMENT ・ GOVERNMENT OFFICIAL
291;館;PUBLIC BUILDING
292;宿;LODGE
293;犬;DOG
294;太;GREAT ・ THICK
295;器;VESSEL ・ INSTRUMENT
296;凶;MISFORTUNE ・ EVIL
297;区;DIVIDE INTO SECTIONS ・ DISTRICT ・ WARD
298;図;DRAWING
299;番;NUMERICAL ORDER ・ WATCH
300;号;NUMBER ・ DESIGNATION ・ SIGN
301;品;ARTICLE ・ GRADE OF EXCELLENCE ・ CLASSIFICATION
302;楽;PLEASURE ・ COMFORTABLE ・ MUSIC
303;薬;DRUG
304;周;PERIPHERY
305;週;WEEK
306;調;TONE ・ INVESTIGATE ・ PREPARE
307;束;TIE UP ・ BUNDLE
308;整;PUT IN ORDER
309;数;NUMBER
310;類;KIND
311;示;SHOW
312;禁;PROHIBIT
313;礼;ETIQUETTE ・ RITE
314;社;COMPANY ・ SOCIETY ・ SHINTO SHRINE
315;申;REPORT ・ SPEAK HUMBLY
316;神;GOD
317;員;MEMBER
318;質;QUALITY ・ MATTER ・ PAWN
319;党;PARTY
320;堂;HALL
321;常;NORMAL ・ REGULAR
322;賞;PRIZE
323;償;RECOMPENSE
324;掌;PALM OF ONE'S HAND ・ TAKE CHARGE OF
325;覚;PERCEIVE ・ WAKE UP ・ COMMIT TO MEMORY
326;悟;AWAKE TO
327;感;SENSE
328;央;CENTER
329;映;REFLECT ・ PROJECT
330;決;DECIDE
331;快;PLEASANT
332;英;DISTINGUISHED ・ ENGLAND
333;並;LINE UP
334;平;FLAT ・ CALM
335;半;HALF
336;馬;HORSE
337;尺;<SHAKU> (30.3cm)
338;尽;EXHAUST
339;駅;STATION
340;鳥;BIRD
341;島;ISLAND
342;角;ANGLE ・ HORN
343;虫;INSECT
344;触;TOUCH
345;解;TAKE APART ・ DISSOLVE ・ CLARIFY
346;独;ALONE
347;店;SHOP
348;占;OCCUPY ・ DIVINE
349;点;POINT
350;士;MILITARY MAN ・ MAN OF LEARNING
351;商;TRADE
352;買;BUY
353;売;SELL
354;続;CONTINUE
355;読;READ
356;共;JOINT
357;供;OFFER
358;洪;FLOOD
359;昔;FORMER TIMES
360;冬;WINTER
361;寒;COLD
362;春;SPRING
363;夏;SUMMER
364;秋;AUTUMN
365;主;MAIN ・ LORD
366;住;LIVE
367;駐;STATIONED
368;注;POUR ・ CONCENTRATE
369;志;AMBITION
370;誌;MAGAZINE
371;仕;SERVE ・ DO
372;任;OFFICE ・ ENTRUST
373;支;BRANCH ・ SUPPORT ・ BE OBSTRUCTED
374;反;COUNTER
375;坂;SLOPE
376;阪;SLOPE
377;飯;COOKED RICE ・ MEAL
378;返;RETURN
379;雑;MISCELLANEOUS ・ MIXED
380;乱;DISORDERED
381;寸;A BIT OF ・ <SUN> (3.03cm)
382;寺;BUDDHIST TEMPLE
383;時;TIME
384;持;HOLD
385;特;SPECIAL
386;待;WAIT
387;得;ACQUIRE ・ GAIN
388;侍;ATTEND UPON ・ SAMURAI
389;詩;POETRY
390;即;IMMEDIATE ・ NAMELY
